job_title,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting
Data Analyst,USD,134200,134200,United Kingdom,Senior,Full-time,In-person
Machine Learning Engineer,USD,165000,165000,United States,Senior,Full-time,Remote
Data Engineer,USD,132100,132100,United States,Senior,Full-time,Remote
Machine Learning Engineer,USD,200000,200000,United States,Mid-level,Full-time,In-person
AI Research Engineer,GBP,30000,36940,United Kingdom,Entry-level,Full-time,Remote
Data Engineer,USD,166000,166000,United States,Senior,Full-time,In-person
Data Engineer,USD,175000,175000,United States,Senior,Full-time,In-person
Data Engineer,USD,190000,190000,United States,Senior,Full-time,In-person
Business Intelligence Engineer,USD,115000,115000,United States,Senior,Full-time,Remote
Data Engineer,USD,201450,201450,United States,Senior,Full-time,Remote
Data Scientist,USD,136742,136742,United States,Senior,Full-time,In-person
Data Analyst,USD,104000,104000,United States,Mid-level,Full-time,In-person
Data Scientist,USD,145000,145000,United States,Mid-level,Full-time,Remote
Machine Learning Engineer,USD,208000,208000,United States,Senior,Full-time,Remote
Research Scientist,USD,125000,125000,United States,Mid-level,Full-time,Remote
Data Scientist,USD,210000,210000,United States,Senior,Full-time,In-person
Data Engineer,USD,129300,129300,United States,Mid-level,Full-time,In-person
Data Engineer,USD,178500,178500,United States,Senior,Full-time,In-person
Data Analyst,USD,94000,94000,United States,Senior,Full-time,Remote
Data Engineer,USD,132320,132320,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,150000,150000,United States,Mid-level,Full-time,In-person
Research Engineer,USD,200000,200000,United States,Senior,Full-time,In-person
Data Engineer,USD,178500,178500,United States,Senior,Full-time,Remote
Data Scientist,USD,220000,220000,United States,Senior,Full-time,Remote
Machine Learning Engineer,USD,205600,205600,United States,Senior,Full-time,Remote
Machine Learning Engineer,USD,224000,224000,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,85000,85000,Netherlands,Entry-level,Full-time,Remote
Research Engineer,USD,176000,176000,United States,Senior,Full-time,Remote
Data Analyst,USD,49000,49000,United States,Mid-level,Full-time,In-person
Data Scientist,USD,148800,148800,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,100000,100000,United States,Mid-level,Full-time,In-person
Applied Scientist,USD,222200,222200,United States,Senior,Full-time,In-person
Data Scientist,USD,156000,156000,Canada,Senior,Full-time,Remote
Data Scientist,USD,160000,160000,United States,Senior,Full-time,Remote
Data Engineer,USD,135000,135000,United States,Mid-level,Full-time,In-person
Data Science Practitioner,USD,170200,170200,United States,Senior,Full-time,In-person
Data Scientist,USD,164000,164000,United States,Senior,Full-time,In-person
Data Engineer,USD,160000,160000,United States,Entry-level,Full-time,In-person
Data Engineer,USD,115000,115000,United States,Mid-level,Full-time,Remote
Research Scientist,USD,140000,140000,United States,Senior,Full-time,In-person
Analytics Engineer,USD,145300,145300,United States,Senior,Full-time,Remote
BI Data Analyst,USD,100000,100000,United States,Mid-level,Full-time,Remote
Analytics Engineer,USD,192000,192000,United States,Senior,Full-time,Remote
Machine Learning Engineer,GBP,45000,55410,United Kingdom,Entry-level,Full-time,Remote
Data Engineer,USD,127600,127600,United States,Senior,Full-time,Remote
Data Architect,USD,200000,200000,United States,Senior,Full-time,Remote
Data Analyst,USD,204500,204500,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,166000,166000,United States,Senior,Full-time,In-person
Research Scientist,USD,248100,248100,United States,Senior,Full-time,In-person
Data Engineer,USD,120000,120000,United States,Mid-level,Full-time,In-person
Data Analyst,USD,80000,80000,United States,Mid-level,Full-time,Remote
Data Scientist,USD,305600,305600,United States,Senior,Full-time,In-person
Data Scientist,USD,231650,231650,United States,Senior,Full-time,In-person
Data Scientist,USD,140250,140250,United States,Senior,Full-time,Remote
Machine Learning Scientist,USD,200000,200000,United States,Executive,Full-time,Remote
Business Intelligence Engineer,USD,130000,130000,United States,Senior,Full-time,Remote
Data Engineer,USD,178000,178000,United States,Senior,Full-time,Remote
Data Science Consultant,USD,128100,128100,United States,Senior,Full-time,In-person
Big Data Architect,GBP,124999,153799,United Kingdom,Senior,Full-time,Remote
Data Scientist,USD,243900,243900,United States,Senior,Full-time,Remote
Machine Learning Engineer,USD,142000,142000,United States,Senior,Full-time,In-person
Data Analyst,USD,106000,106000,United States,Senior,Full-time,In-person
Data Manager,USD,73500,73500,United States,Mid-level,Full-time,In-person
Data Scientist,USD,166000,166000,United Kingdom,Senior,Full-time,In-person
Data Engineer,USD,160000,160000,United States,Entry-level,Full-time,In-person
Applied Scientist,USD,192000,192000,United States,Senior,Full-time,Remote
Data Engineer,USD,190000,190000,United States,Senior,Full-time,In-person
Head of Data,USD,269600,269600,United States,Executive,Full-time,In-person
Data Analyst,USD,153600,153600,United States,Senior,Full-time,In-person
Data Scientist,USD,164000,164000,United States,Senior,Full-time,In-person
Data Engineer,USD,90000,90000,United States,Senior,Full-time,In-person
Data Engineer,GBP,75000,92350,United Kingdom,Mid-level,Full-time,Remote
Data Scientist,USD,191475,191475,United States,Senior,Full-time,Remote
Data Engineer,USD,170000,170000,United States,Senior,Full-time,In-person
Data Engineer,USD,180000,180000,United States,Mid-level,Full-time,Remote
Machine Learning Infrastructure Engineer,USD,127300,127300,United Kingdom,Senior,Full-time,In-person
Data Analyst,GBP,90000,110736,United Kingdom,Mid-level,Full-time,In-person
Data Analyst,USD,79000,79000,United States,Senior,Full-time,In-person
Data Engineer,USD,204500,204500,United States,Executive,Full-time,In-person
Data Engineer,USD,95000,95000,United States,Mid-level,Full-time,In-person
Data Engineer,USD,160000,160000,United States,Senior,Full-time,In-person
Analytics Engineer,USD,112500,112500,United States,Senior,Full-time,In-person
Data Analyst,GBP,40000,49253,United Kingdom,Mid-level,Full-time,Remote
Data Engineer,USD,123471,123471,United Kingdom,Executive,Full-time,Remote
Applied Scientist,USD,249300,249300,United States,Mid-level,Full-time,In-person
Data Engineer,USD,101570,101570,United States,Senior,Full-time,Remote
Data Analyst,USD,130000,130000,United States,Senior,Full-time,Remote
Machine Learning Engineer,USD,95000,95000,Canada,Senior,Full-time,Remote
Data Engineer,USD,168000,168000,United States,Executive,Full-time,Remote
Analytics Engineer,USD,85500,85500,United States,Senior,Full-time,In-person
BI Data Analyst,USD,150000,150000,India,Executive,Full-time,Remote
Data Scientist,USD,185900,185900,United States,Senior,Full-time,In-person
Applied Scientist,USD,222200,222200,United States,Senior,Full-time,In-person
Data Engineer,USD,182750,182750,United States,Senior,Full-time,Remote
Data Engineer,USD,217000,217000,United States,Senior,Full-time,Remote
Research Scientist,USD,210000,210000,United States,Senior,Full-time,Remote
Business Intelligence Engineer,USD,202800,202800,United States,Senior,Full-time,In-person
Data Analyst,USD,153600,153600,United States,Senior,Full-time,Remote
Applied Machine Learning Scientist,USD,108000,108000,United States,Senior,Full-time,In-person
Data Engineer,USD,150000,150000,United States,Mid-level,Full-time,Remote
Data Analyst,USD,160000,160000,United States,Mid-level,Full-time,In-person
Data Analyst,USD,145000,145000,United States,Senior,Full-time,In-person
Data Engineer,USD,220000,220000,United States,Senior,Full-time,In-person
Business Intelligence Engineer,USD,225000,225000,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,145000,145000,United States,Senior,Full-time,Remote
Cloud Data Architect,USD,250000,250000,United States,Senior,Full-time,Hybrid
Analytics Engineer,GBP,50000,61520,United Kingdom,Mid-level,Full-time,In-person
Data Analyst,USD,105000,105000,United States,Mid-level,Full-time,In-person
Machine Learning Engineer,USD,201000,201000,United States,Senior,Full-time,In-person
Data Scientist,EUR,55000,62726,Germany,Entry-level,Full-time,Hybrid
Data Engineer,USD,140000,140000,United States,Senior,Full-time,Remote
Data Engineer,USD,95000,95000,United States,Senior,Full-time,In-person
Analytics Engineer,USD,100000,100000,United States,Senior,Full-time,Remote
Data Analyst,USD,100000,100000,United States,Senior,Full-time,In-person
Data Engineer,USD,133300,133300,United States,Senior,Full-time,In-person
Data Analyst,USD,79000,79000,United States,Mid-level,Full-time,In-person
Data Scientist,USD,136000,136000,United States,Senior,Full-time,In-person
Applied Scientist,USD,309400,309400,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,207500,207500,Australia,Mid-level,Full-time,In-person
BI Developer,USD,76300,76300,United States,Mid-level,Full-time,In-person
Data Analyst,USD,110000,110000,United States,Senior,Full-time,In-person
Data Engineer,USD,213600,213600,United States,Senior,Full-time,In-person
Data Scientist,USD,110000,110000,United States,Mid-level,Full-time,In-person
Data Analyst,USD,127000,127000,United States,Senior,Full-time,Remote
Software Data Engineer,SGD,100000,74883,Singapore,Mid-level,Full-time,Remote
Data Scientist,USD,191475,191475,United States,Senior,Full-time,Remote
Machine Learning Infrastructure Engineer,USD,171600,171600,United States,Senior,Full-time,In-person
Data Analyst,USD,75000,75000,United States,Entry-level,Full-time,In-person
Data Scientist,USD,182250,182250,United States,Senior,Full-time,In-person
Data Analyst,USD,111000,111000,United States,Entry-level,Full-time,In-person
Product Data Analyst,USD,140000,140000,United States,Mid-level,Full-time,Remote
Data Engineer,USD,130000,130000,United States,Senior,Full-time,In-person
AI Developer,USD,50000,50000,Ukraine,Entry-level,Full-time,Remote
Data Scientist,USD,125760,125760,United States,Senior,Full-time,In-person
Data Engineer,USD,171250,171250,United States,Senior,Full-time,In-person
Data Engineer,USD,24000,24000,United States,Mid-level,Full-time,In-person
Data Analyst,USD,105000,105000,Canada,Senior,Full-time,In-person
Deep Learning Engineer,GBP,40000,49253,United Kingdom,Mid-level,Full-time,Remote
Data Engineer,USD,106500,106500,United States,Mid-level,Full-time,In-person
Data Architect,USD,122900,122900,United States,Senior,Full-time,In-person
Data Scientist,USD,165000,165000,United States,Senior,Full-time,Remote
Data Analyst,USD,117500,117500,United States,Senior,Full-time,Remote
Data Engineer,USD,125000,125000,United States,Entry-level,Full-time,In-person
Data Scientist,USD,156400,156400,United States,Senior,Full-time,In-person
Analytics Engineer,USD,75000,75000,United States,Mid-level,Full-time,In-person
Data Analyst,USD,165000,165000,United States,Mid-level,Full-time,In-person
Data Analyst,GBP,55000,67672,United Kingdom,Mid-level,Full-time,In-person
Data Engineer,USD,150000,150000,United States,Mid-level,Full-time,In-person
Data Scientist,USD,110500,110500,United States,Senior,Full-time,Remote
Data Scientist,USD,160000,160000,United States,Senior,Full-time,Remote
Data Engineer,USD,61800,61800,United States,Entry-level,Full-time,Remote
Machine Learning Engineer,USD,159090,159090,United States,Senior,Full-time,Remote
Data Analyst,USD,124000,124000,United States,Mid-level,Full-time,In-person
Data Scientist,USD,130000,130000,United States,Senior,Full-time,Remote
Machine Learning Engineer,USD,273400,273400,United States,Senior,Full-time,Remote
Data Analyst,USD,110000,110000,United States,Mid-level,Full-time,In-person
Data Analyst,USD,60000,60000,United States,Entry-level,Full-time,Remote
BI Data Analyst,USD,25000,25000,Ukraine,Entry-level,Full-time,Remote
Analytics Engineer,USD,210000,210000,United States,Executive,Full-time,Remote
Machine Learning Engineer,USD,142200,142200,United States,Senior,Full-time,In-person
ML Engineer,USD,336300,336300,United States,Senior,Full-time,In-person
Data Engineer,USD,90000,90000,United States,Mid-level,Full-time,Remote
Data Engineer,USD,167500,167500,United States,Senior,Full-time,In-person
Data Analyst,USD,65000,65000,United States,Senior,Full-time,Remote
Data Architect,USD,110000,110000,United States,Senior,Full-time,Remote
Research Analyst,USD,107000,107000,United States,Senior,Full-time,In-person
Data Scientist,USD,180000,180000,United States,Senior,Full-time,Remote
Machine Learning Engineer,USD,190000,190000,United States,Senior,Full-time,In-person
Data Engineer,GBP,70000,86128,United Kingdom,Mid-level,Full-time,Remote
Data Analyst,USD,140000,140000,United States,Senior,Full-time,Remote
Data Scientist,USD,200160,200160,United States,Senior,Full-time,In-person
Research Engineer,USD,156400,156400,United States,Senior,Full-time,Remote
Data Quality Analyst,USD,64980,64980,United States,Senior,Full-time,In-person
Data Scientist,USD,106800,106800,United States,Senior,Full-time,In-person
Data Engineer,USD,151000,151000,United States,Mid-level,Full-time,In-person
Data Analyst,USD,93700,93700,United States,Senior,Full-time,Remote
Data Engineer,USD,65000,65000,United States,Entry-level,Full-time,Remote
Data Scientist,USD,130000,130000,United States,Senior,Full-time,In-person
Data Analyst,USD,15000,15000,Indonesia,Entry-level,Full-time,In-person
Data Analyst,USD,60000,60000,United States,Senior,Full-time,In-person
Data Analyst,USD,250000,250000,United States,Mid-level,Full-time,In-person
Business Intelligence Engineer,USD,140000,140000,United States,Senior,Full-time,In-person
Data Scientist,USD,225000,225000,United States,Senior,Full-time,In-person
Data Analyst,USD,140000,140000,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,172200,172200,United States,Senior,Full-time,In-person
Data Scientist,USD,123000,123000,United States,Senior,Full-time,In-person
Data Engineer,USD,225500,225500,United States,Senior,Full-time,In-person
Data Scientist,USD,118000,118000,United States,Mid-level,Full-time,Remote
Data Engineer,USD,215000,215000,United States,Senior,Full-time,In-person
Data Engineer,USD,283780,283780,United States,Senior,Full-time,In-person
Data Engineer,USD,180000,180000,United States,Senior,Full-time,In-person
Head of Data,USD,172200,172200,United States,Executive,Full-time,In-person
Applied Data Scientist,EUR,60000,64781,Germany,Senior,Full-time,In-person
Data Engineer,USD,180514,180514,United Kingdom,Senior,Full-time,Remote
Data Scientist,USD,93000,93000,United States,Entry-level,Full-time,In-person
Data Analyst,USD,177000,177000,United States,Senior,Full-time,Remote
Data Engineer,USD,139700,139700,United States,Senior,Full-time,In-person
Data Engineer,USD,239000,239000,United States,Executive,Full-time,Remote
Data Engineer,USD,100000,100000,United States,Senior,Full-time,Remote
Marketing Data Analyst,EUR,75000,88654,Greece,Senior,Full-time,Remote
Data Analyst,USD,120000,120000,United States,Senior,Full-time,In-person
Data Scientist,USD,85000,85000,United States,Mid-level,Full-time,Remote
Data Analyst,USD,148000,148000,United States,Senior,Full-time,In-person
Decision Scientist,USD,204500,204500,United States,Senior,Full-time,In-person
Data Manager,USD,73500,73500,United States,Mid-level,Full-time,In-person
Data Scientist,GBP,47000,57872,United Kingdom,Mid-level,Full-time,Hybrid
Business Intelligence Engineer,USD,129300,129300,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,200000,200000,United States,Senior,Full-time,In-person
Data Engineer,USD,185900,185900,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,331640,331640,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,247500,247500,United States,Mid-level,Full-time,In-person
Data Architect,USD,149040,149040,United States,Senior,Full-time,Remote
Business Intelligence Engineer,USD,65000,65000,United States,Mid-level,Full-time,Remote
Data Engineer,USD,133300,133300,United States,Senior,Full-time,In-person
AI Architect,USD,200000,200000,United States,Senior,Full-time,Remote
Data Product Manager,USD,186000,186000,United States,Mid-level,Full-time,In-person
Data Engineer,USD,150900,150900,United States,Executive,Full-time,In-person
BI Data Analyst,EUR,58000,60938,Germany,Entry-level,Full-time,In-person
Data Scientist,USD,185900,185900,United States,Senior,Full-time,In-person
Data Analyst,USD,110600,110600,United States,Senior,Full-time,In-person
Applied Scientist,USD,136000,136000,United States,Senior,Full-time,In-person
Data Science Engineer,CAD,159500,127221,Canada,Senior,Full-time,Hybrid
Data Engineer,USD,310000,310000,United States,Senior,Full-time,In-person
Research Scientist,USD,220000,220000,United States,Senior,Full-time,In-person
Data Analyst,USD,150000,150000,United States,Senior,Full-time,In-person
Data Engineer,USD,219535,219535,United States,Senior,Full-time,Remote
Applied Scientist,USD,167310,167310,United States,Senior,Full-time,In-person
Data Analyst,USD,106800,106800,United States,Senior,Full-time,In-person
Data Analyst,USD,153600,153600,United States,Senior,Full-time,Remote
Data Analyst,USD,130000,130000,United States,Senior,Full-time,In-person
Data Engineer,USD,160000,160000,Canada,Senior,Full-time,Remote
Data Scientist,USD,144000,144000,United States,Senior,Full-time,In-person
Data Analyst,USD,130000,130000,Canada,Senior,Full-time,Remote
Data Analytics Manager,USD,120000,120000,United States,Senior,Full-time,In-person
Data Analyst,USD,75000,75000,United States,Senior,Full-time,Remote
Data Analyst,EUR,48000,51824,Spain,Senior,Full-time,Remote
ML Engineer,USD,145000,145000,United States,Senior,Full-time,Remote
Machine Learning Engineer,USD,214500,214500,United States,Senior,Full-time,In-person
Business Intelligence Developer,USD,66825,66825,United States,Senior,Full-time,In-person
Director of Data Science,USD,175000,175000,United States,Executive,Full-time,Remote
Data Analyst,USD,154500,154500,United States,Senior,Full-time,Remote
Data Engineer,USD,210000,210000,United States,Senior,Full-time,In-person
Data Engineer,USD,178000,178000,Canada,Senior,Full-time,In-person
Data Developer,USD,130000,130000,United States,Mid-level,Full-time,Remote
Data Engineer,USD,160000,160000,United States,Senior,Full-time,Remote
Data Scientist,USD,129300,129300,United States,Senior,Full-time,In-person
BI Developer,USD,128000,128000,United States,Mid-level,Full-time,In-person
Machine Learning Engineer,USD,80000,80000,United States,Senior,Full-time,In-person
Data Engineer,USD,202000,202000,United States,Senior,Full-time,Remote
Data Scientist,USD,211500,211500,United States,Senior,Full-time,Remote
Data Scientist,USD,187000,187000,United States,Senior,Full-time,In-person
Data Engineer,USD,100000,100000,United States,Executive,Full-time,In-person
Data Scientist,USD,122900,122900,United States,Senior,Full-time,In-person
Data Scientist,USD,183924,183924,United States,Senior,Full-time,In-person
Data Engineer,USD,111000,111000,United States,Mid-level,Full-time,Remote
AI Engineer,GBP,33063,40680,United Kingdom,Mid-level,Full-time,In-person
Data Engineer,EUR,80000,86374,Germany,Senior,Full-time,Remote
Data Scientist,USD,185000,185000,United Kingdom,Senior,Full-time,In-person
Applied Scientist,USD,132000,132000,United States,Mid-level,Full-time,Remote
Data Engineer,USD,146000,146000,United States,Senior,Full-time,Remote
Business Intelligence Engineer,USD,202800,202800,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,210000,210000,United States,Senior,Full-time,Remote
Data Scientist,USD,141525,141525,United States,Senior,Full-time,Remote
Data Scientist,EUR,30000,32390,Netherlands,Entry-level,Full-time,In-person
Machine Learning Manager,EUR,120000,129562,Germany,Senior,Full-time,Remote
Analytics Engineer,USD,180000,180000,United States,Senior,Full-time,In-person
Data Scientist,USD,119300,119300,United States,Senior,Full-time,In-person
Data Engineer,USD,169000,169000,United States,Mid-level,Full-time,In-person
Business Intelligence Developer,USD,169000,169000,United States,Senior,Full-time,In-person
Data Scientist,USD,159408,159408,United States,Senior,Full-time,Remote
Data Engineer,USD,250000,250000,United States,Senior,Full-time,In-person
Data Analyst,USD,51962,51962,United States,Senior,Full-time,In-person
Applied Scientist,USD,125000,125000,United States,Mid-level,Full-time,In-person
Data Engineer,USD,250000,250000,United States,Senior,Full-time,Remote
Data Analyst,USD,132000,132000,United States,Senior,Full-time,In-person
Data Specialist,USD,165000,165000,United States,Senior,Full-time,Remote
Data Scientist,USD,45760,45760,Philippines,Mid-level,Full-time,Remote
Machine Learning Engineer,USD,176000,176000,United States,Senior,Full-time,In-person
