job_title,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting
Data Scientist,USD,247600,247600,United States,Senior,Full-time,In-person
Data Engineer,USD,171500,171500,United States,Senior,Full-time,In-person
Data Analyst,USD,192300,192300,United States,Senior,Full-time,Remote
Machine Learning Engineer,EUR,75000,88654,Belgium,Mid-level,Full-time,Remote
Data Analytics Manager,USD,110000,110000,United States,Mid-level,Full-time,In-person
Business Intelligence Engineer,USD,104300,104300,United States,Senior,Full-time,In-person
Data Analyst,USD,100000,100000,United States,Mid-level,Full-time,In-person
Machine Learning Engineer,USD,126500,126500,United States,Senior,Full-time,In-person
Data Scientist,USD,122200,122200,United States,Mid-level,Full-time,In-person
Data Engineer,USD,175000,175000,United States,Senior,Full-time,In-person
Data Analyst,GBP,50000,61566,United Kingdom,Senior,Full-time,In-person
Data Scientist,USD,218000,218000,United States,Senior,Full-time,In-person
Data Analyst,USD,213210,213210,United States,Senior,Full-time,Remote
Big Data Architect,CAD,125000,99703,Canada,Senior,Full-time,Hybrid
Applied Data Scientist,EUR,27500,29691,Italy,Entry-level,Full-time,Hybrid
Machine Learning Engineer,AUD,121000,83864,Australia,Mid-level,Full-time,Remote
Machine Learning Engineer,USD,188800,188800,United States,Senior,Full-time,Remote
Machine Learning Engineer,USD,100000,100000,Iran,Entry-level,Freelance,Remote
Data Scientist,USD,156400,156400,United States,Senior,Full-time,Remote
Data Engineer,USD,147000,147000,United States,Senior,Full-time,In-person
Data Engineer,USD,109000,109000,United States,Mid-level,Full-time,Remote
Data Engineer,USD,160000,160000,United States,Senior,Full-time,Remote
Data Scientist,USD,144500,144500,United States,Senior,Full-time,In-person
Data Manager,USD,75000,75000,United States,Executive,Full-time,In-person
Data Engineer,USD,129000,129000,United States,Senior,Full-time,In-person
Data Visualization Analyst,USD,130000,130000,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,240000,240000,United States,Senior,Full-time,Remote
Data Analyst,USD,120000,120000,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,225000,225000,United States,Senior,Full-time,Remote
Research Scientist,USD,198800,198800,United States,Senior,Full-time,In-person
Data Scientist,USD,145000,145000,United States,Mid-level,Full-time,Remote
Data Analyst,USD,154560,154560,United States,Senior,Full-time,In-person
Research Engineer,USD,240000,240000,United States,Senior,Full-time,Remote
Data Analyst,USD,102100,102100,United States,Senior,Full-time,Remote
Data Analytics Manager,USD,140000,140000,United States,Mid-level,Full-time,In-person
Machine Learning Engineer,USD,220000,220000,United States,Mid-level,Full-time,In-person
Data Engineer,USD,149600,149600,United States,Mid-level,Full-time,In-person
Machine Learning Infrastructure Engineer,USD,195000,195000,United States,Senior,Full-time,Remote
Analytics Engineer,USD,147500,147500,United States,Senior,Full-time,In-person
Business Intelligence Analyst,USD,83339,83339,United States,Mid-level,Full-time,Remote
Data Engineer,USD,225000,225000,United States,Senior,Full-time,In-person
Applied Scientist,USD,250000,250000,United States,Mid-level,Full-time,In-person
BI Developer,USD,135000,135000,United States,Senior,Full-time,Remote
Data Scientist,USD,150000,150000,United States,Mid-level,Full-time,In-person
Data Manager,USD,130000,130000,United States,Senior,Full-time,In-person
Data Engineer,USD,220000,220000,United States,Executive,Full-time,In-person
Data Manager,USD,130000,130000,United States,Senior,Full-time,In-person
Data Engineer,USD,232000,232000,United States,Senior,Full-time,In-person
Research Engineer,USD,220000,220000,United States,Mid-level,Full-time,In-person
Machine Learning Engineer,USD,142200,142200,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,187200,187200,Canada,Senior,Full-time,Remote
Applied Scientist,USD,136000,136000,United States,Mid-level,Full-time,In-person
Data Engineer,USD,154000,154000,United States,Mid-level,Full-time,In-person
Data Engineer,USD,103200,103200,United States,Senior,Full-time,In-person
Head of Data,GBP,110000,135344,United Kingdom,Executive,Full-time,Remote
Machine Learning Scientist,EUR,33000,34672,Italy,Entry-level,Full-time,Remote
Data Engineer,USD,145000,145000,United States,Executive,Full-time,In-person
Data Scientist,USD,168000,168000,United States,Senior,Full-time,Remote
Data Scientist,USD,140000,140000,United States,Senior,Full-time,Remote
Data Engineer,USD,112200,112200,United States,Senior,Full-time,In-person
Data Scientist,EUR,36000,37824,Spain,Senior,Full-time,In-person
ETL Developer,USD,124270,124270,United States,Senior,Full-time,Remote
Data Analyst,USD,75000,75000,United States,Mid-level,Full-time,In-person
Data Engineer,EUR,45000,47280,Spain,Mid-level,Full-time,Remote
Data Engineer,USD,90000,90000,United States,Entry-level,Full-time,In-person
Data Scientist,USD,175000,175000,United States,Senior,Full-time,Remote
Data Engineer,USD,167500,167500,United States,Senior,Full-time,In-person
Data Scientist,USD,186846,186846,United States,Senior,Full-time,Remote
Data Analyst,USD,120000,120000,United States,Senior,Full-time,In-person
Analytics Engineer,USD,116250,116250,United States,Senior,Full-time,Remote
Data Scientist,USD,38000,38000,United States,Senior,Full-time,Remote
Data Analyst,USD,74400,74400,United States,Senior,Full-time,In-person
Data Engineer,USD,300000,300000,United States,Senior,Full-time,In-person
Data Architect,USD,210000,210000,United States,Senior,Full-time,In-person
Business Intelligence Engineer,USD,202800,202800,United States,Senior,Full-time,In-person
Data Analyst,USD,110600,110600,United States,Senior,Full-time,In-person
Data Scientist,USD,130001,130001,United States,Entry-level,Full-time,Remote
Data Scientist,USD,140000,140000,United States,Senior,Full-time,In-person
Data Developer,USD,85500,85500,United States,Senior,Full-time,In-person
Data Scientist,USD,136994,136994,United States,Senior,Full-time,Remote
Analytics Engineer,USD,116990,116990,United States,Senior,Full-time,Remote
Research Engineer,USD,176000,176000,United States,Senior,Full-time,In-person
Data Engineer,USD,158620,158620,United States,Senior,Full-time,In-person
Data Manager,USD,73500,73500,United States,Mid-level,Full-time,In-person
Data Architect,USD,250000,250000,United States,Senior,Full-time,In-person
Data Engineer,USD,265000,265000,United States,Senior,Full-time,Remote
Data Manager,USD,73500,73500,United States,Mid-level,Full-time,In-person
Data Analyst,USD,75000,75000,United States,Senior,Full-time,In-person
Data Analyst,EUR,24000,25216,Spain,Entry-level,Part-time,Remote
Data Engineer,USD,226700,226700,United States,Senior,Full-time,In-person
Data Architect,USD,204000,204000,United States,Senior,Full-time,Remote
Analytics Engineer,USD,170000,170000,United Kingdom,Senior,Full-time,Remote
Data Operations Engineer,USD,289120,289120,United States,Senior,Full-time,In-person
Data Scientist,USD,323300,323300,United States,Senior,Full-time,In-person
Data Scientist,USD,160000,160000,United States,Senior,Full-time,Remote
Machine Learning Engineer,USD,331640,331640,United States,Senior,Full-time,In-person
Data Scientist,USD,299500,299500,United States,Executive,Full-time,Remote
Data Analyst,USD,53000,53000,United States,Mid-level,Full-time,Remote
Research Scientist,USD,185000,185000,United States,Senior,Full-time,In-person
Data Engineer,USD,180000,180000,United States,Mid-level,Full-time,In-person
Data Analyst,USD,91800,91800,United States,Senior,Full-time,Remote
Applied Scientist,USD,184000,184000,United States,Senior,Full-time,Remote
Data Engineer,USD,150000,150000,United States,Mid-level,Full-time,Remote
Data Analyst,USD,216200,216200,United States,Mid-level,Full-time,In-person
Data Analyst,USD,50000,50000,United States,Entry-level,Full-time,In-person
Machine Learning Engineer,USD,145000,145000,United States,Senior,Full-time,In-person
Data Engineer,USD,197400,197400,United States,Senior,Full-time,In-person
Business Intelligence Engineer,USD,202800,202800,United States,Senior,Full-time,In-person
Data Scientist,USD,170000,170000,United States,Senior,Full-time,Remote
Data Scientist,USD,175000,175000,United States,Senior,Full-time,Remote
Data Scientist,USD,110000,110000,United States,Mid-level,Full-time,In-person
Data Scientist,USD,175750,175750,United States,Senior,Full-time,In-person
Research Scientist,USD,252990,252990,United States,Mid-level,Full-time,Remote
Data Scientist,USD,136000,136000,United States,Senior,Full-time,Remote
Data Scientist,USD,215000,215000,United States,Senior,Full-time,In-person
Data Analyst,USD,169000,169000,United States,Senior,Full-time,In-person
Data Analyst,USD,100000,100000,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,150000,150000,United States,Senior,Full-time,Remote
Machine Learning Engineer,USD,215000,215000,United States,Senior,Full-time,In-person
Data Scientist,USD,167500,167500,United States,Senior,Full-time,In-person
Data Analyst,USD,66000,66000,United States,Mid-level,Full-time,Remote
Lead Machine Learning Engineer,EUR,80000,84053,Germany,Senior,Full-time,In-person
Data Scientist,USD,180000,180000,United States,Senior,Full-time,Remote
Data Analyst,USD,75000,75000,United States,Entry-level,Full-time,In-person
Data Scientist,USD,138784,138784,United States,Senior,Full-time,Remote
Data Scientist,GBP,50000,61566,United Kingdom,Mid-level,Full-time,In-person
Data Engineer,USD,130000,130000,United States,Mid-level,Full-time,In-person
Data Engineer,USD,117300,117300,United States,Mid-level,Full-time,In-person
Data Analyst,USD,153600,153600,United States,Senior,Full-time,In-person
Machine Learning Engineer,EUR,60000,63040,Finland,Senior,Full-time,Hybrid
Data Scientist,EUR,70000,73546,Netherlands,Mid-level,Full-time,Hybrid
Data Manager,USD,130000,130000,United States,Senior,Full-time,In-person
Data Quality Analyst,USD,70000,70000,United States,Mid-level,Full-time,In-person
Applied Scientist,USD,253000,253000,United States,Senior,Full-time,Remote
Analytics Engineer,USD,230000,230000,United Kingdom,Senior,Full-time,Remote
Data Engineer,USD,188100,188100,United States,Senior,Full-time,In-person
Data Analyst,USD,142000,142000,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,200000,200000,United States,Senior,Full-time,In-person
Applied Scientist,USD,216000,216000,United States,Senior,Full-time,In-person
Data Engineer,USD,145000,145000,United States,Senior,Full-time,In-person
Data Scientist,USD,225000,225000,United States,Senior,Full-time,In-person
Data Scientist,USD,170000,170000,United States,Senior,Full-time,In-person
Computer Vision Engineer,USD,342810,342810,United States,Senior,Full-time,In-person
Data Scientist,USD,136000,136000,United Kingdom,Senior,Full-time,In-person
Data Manager,USD,169000,169000,United States,Senior,Full-time,In-person
Data Analyst,USD,67000,67000,Canada,Entry-level,Full-time,In-person
Analytics Engineer,USD,115702,115702,United States,Mid-level,Full-time,In-person
Machine Learning Engineer,USD,212500,212500,United States,Senior,Full-time,In-person
Data Engineer,USD,206000,206000,United States,Senior,Full-time,In-person
Decision Scientist,USD,142200,142200,United States,Senior,Full-time,In-person
Data Architect,USD,213120,213120,United States,Senior,Full-time,Remote
Data Analyst,USD,81800,81800,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,119250,119250,United States,Senior,Full-time,In-person
Data Scientist,USD,209450,209450,United States,Senior,Full-time,Remote
Finance Data Analyst,EUR,300000,323905,France,Senior,Contract,Remote
Data Architect,USD,115000,115000,United States,Mid-level,Full-time,In-person
Data Scientist,USD,179000,179000,United States,Senior,Full-time,In-person
Data Engineer,USD,165000,165000,United States,Mid-level,Full-time,Remote
BI Developer,USD,167500,167500,United States,Senior,Full-time,In-person
Data Scientist,USD,130000,130000,United States,Mid-level,Full-time,In-person
Data Engineer,USD,85000,85000,United States,Entry-level,Full-time,In-person
Data Engineer,GBP,40000,49253,United Kingdom,Mid-level,Full-time,In-person
Data Engineer,USD,200000,200000,United States,Executive,Full-time,Remote
Data Engineer,USD,161800,161800,United States,Senior,Full-time,Remote
Data Analyst,USD,99000,99000,United States,Senior,Full-time,In-person
Data Engineer,USD,125000,125000,United States,Senior,Full-time,In-person
Data Engineer,USD,105000,105000,United States,Mid-level,Full-time,In-person
Machine Learning Engineer,USD,95000,95000,Portugal,Mid-level,Full-time,Remote
Applied Scientist,USD,159100,159100,United States,Senior,Full-time,In-person
Data Scientist,USD,123000,123000,United States,Senior,Full-time,Remote
Data Scientist,USD,154000,154000,United States,Senior,Full-time,Remote
Machine Learning Engineer,USD,184950,184950,United States,Senior,Full-time,In-person
Applied Scientist,USD,184000,184000,United States,Senior,Full-time,Remote
Data Scientist,EUR,36000,38868,Spain,Senior,Full-time,In-person
Data Engineer,USD,75000,75000,United States,Senior,Full-time,In-person
Data Engineer,GBP,70000,86193,United Kingdom,Mid-level,Full-time,Remote
Data Analyst,EUR,30000,31520,Spain,Mid-level,Full-time,Remote
Data Engineer,USD,110000,110000,United States,Mid-level,Full-time,Remote
Data Engineer,USD,87000,87000,Canada,Senior,Full-time,In-person
Data Analyst,USD,150000,150000,United States,Senior,Full-time,In-person
Data Analyst,USD,92000,92000,Canada,Senior,Full-time,In-person
Data Engineer,USD,170000,170000,United States,Senior,Full-time,In-person
Data Engineer,USD,205600,205600,United States,Senior,Full-time,In-person
Machine Learning Engineer,GBP,55250,67979,United Kingdom,Mid-level,Full-time,In-person
Data Scientist,USD,219000,219000,Canada,Senior,Full-time,In-person
Computer Vision Engineer,USD,235000,235000,United States,Senior,Full-time,In-person
Research Engineer,USD,156400,156400,United States,Senior,Full-time,Remote
Analytics Engineer,USD,108320,108320,United States,Senior,Full-time,Remote
Data Engineer,USD,185900,185900,United States,Senior,Full-time,In-person
Data Scientist,USD,139000,139000,United States,Senior,Full-time,In-person
Data Manager,USD,130000,130000,United States,Mid-level,Full-time,In-person
Data Scientist,USD,100000,100000,United States,Senior,Full-time,Remote
Data Engineer,USD,225000,225000,United States,Senior,Full-time,In-person
Research Engineer,USD,100000,100000,United States,Mid-level,Full-time,In-person
Data Scientist,USD,176000,176000,United States,Senior,Full-time,In-person
ML Engineer,USD,235000,235000,United States,Senior,Full-time,Remote
Data Scientist,USD,275300,275300,United States,Senior,Full-time,Remote
Data Scientist,USD,130000,130000,United States,Senior,Full-time,Remote
Data Analyst,USD,172800,172800,United Kingdom,Senior,Full-time,Remote
Research Engineer,USD,185000,185000,United States,Senior,Full-time,In-person
Data Analyst,USD,223100,223100,United States,Senior,Full-time,In-person
Data Analyst,GBP,75000,92280,United Kingdom,Senior,Full-time,In-person
Analytics Engineer,USD,75000,75000,United States,Senior,Full-time,In-person
Data Scientist,USD,285800,285800,United States,Senior,Full-time,In-person
Data Manager,USD,130000,130000,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,205000,205000,United States,Senior,Full-time,In-person
Data Engineer,USD,120000,120000,United States,Senior,Full-time,In-person
Data Engineer,USD,130000,130000,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,172200,172200,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,142200,142200,United States,Senior,Full-time,In-person
ML Engineer,USD,208450,208450,United States,Senior,Full-time,In-person
Data Scientist,USD,82920,82920,United States,Mid-level,Full-time,Remote
Data Scientist,USD,218213,218213,United States,Senior,Full-time,Remote
Data Scientist,USD,201000,201000,United States,Senior,Full-time,In-person
Data Engineer,USD,185000,185000,United States,Senior,Full-time,In-person
Data Analyst,USD,130000,130000,United States,Senior,Full-time,Remote
Data Engineer,GBP,47500,58444,United Kingdom,Mid-level,Full-time,Remote
Machine Learning Scientist,USD,170000,170000,United States,Senior,Full-time,In-person
Applied Scientist,USD,184000,184000,United States,Senior,Full-time,In-person
Data Scientist,USD,60000,60000,United States,Mid-level,Full-time,In-person
Computer Vision Software Engineer,EUR,50000,53984,Netherlands,Senior,Full-time,Remote
Data Scientist,USD,169000,169000,United States,Senior,Full-time,In-person
Applied Scientist,USD,164000,164000,United States,Senior,Full-time,Remote
Data Engineer,USD,331640,331640,United States,Senior,Full-time,In-person
Data Scientist,USD,104000,104000,United States,Senior,Full-time,Remote
Machine Learning Engineer,USD,150000,150000,United States,Mid-level,Full-time,In-person
Machine Learning Manager,USD,150000,150000,United States,Senior,Full-time,Remote
Data Engineer,USD,104650,104650,United States,Senior,Full-time,In-person
Machine Learning Infrastructure Engineer,USD,180000,180000,United States,Senior,Full-time,In-person
Data Science Engineer,USD,100000,100000,United States,Senior,Full-time,In-person
Data Scientist,EUR,18000,19434,Greece,Entry-level,Full-time,Remote
Data Engineer,USD,120000,120000,United States,Mid-level,Full-time,In-person
Data Analyst,USD,60000,60000,United States,Entry-level,Full-time,In-person
Data Scientist,USD,140000,140000,United States,Senior,Full-time,In-person
Data Manager,USD,73500,73500,United States,Mid-level,Full-time,In-person
Data Architect,USD,192564,192564,United States,Senior,Full-time,Remote
Data Scientist,USD,180000,180000,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,280000,280000,United States,Senior,Full-time,In-person
Data Analyst,USD,153600,153600,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,160000,160000,United Kingdom,Senior,Full-time,In-person
Data Architect,USD,198000,198000,United States,Senior,Full-time,Remote
Data Scientist,USD,359170,359170,United States,Senior,Full-time,In-person
Data Analyst,USD,98400,98400,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,160000,160000,United States,Executive,Full-time,Remote
Data Analyst,EUR,48000,50432,Spain,Senior,Full-time,In-person
ML Engineer,USD,183000,183000,United States,Senior,Full-time,Remote
Data Analyst,USD,70000,70000,United States,Mid-level,Full-time,In-person
Research Engineer,USD,174000,174000,Germany,Senior,Full-time,In-person
Data Engineer,USD,65000,65000,United States,Entry-level,Full-time,In-person
Data Engineer,USD,80000,80000,Spain,Mid-level,Full-time,Remote
Decision Scientist,USD,204500,204500,United States,Senior,Full-time,In-person
Machine Learning Scientist,USD,135000,135000,United States,Mid-level,Full-time,In-person
Machine Learning Engineer,USD,230000,230000,United States,Senior,Full-time,In-person
Data Analyst,USD,131325,131325,United States,Senior,Full-time,Remote
Data Architect,USD,90700,90700,United States,Senior,Full-time,In-person
BI Developer,USD,120000,120000,United States,Senior,Full-time,Remote
Data Infrastructure Engineer,USD,190000,190000,United States,Mid-level,Full-time,In-person
Data Scientist,USD,156560,156560,United States,Senior,Full-time,Remote
Research Analyst,EUR,44272,47799,Italy,Senior,Full-time,Remote
Data Analytics Specialist,USD,105000,105000,United States,Senior,Full-time,In-person
Data Engineer,USD,86000,86000,United States,Entry-level,Full-time,Remote
Staff Data Analyst,USD,179998,179998,Saudi Arabia,Mid-level,Full-time,Remote
Data Engineer,USD,120000,120000,United States,Senior,Full-time,Remote
Data Engineer,USD,100000,100000,United States,Senior,Full-time,Remote
Finance Data Analyst,GBP,45000,61896,United Kingdom,Senior,Full-time,Hybrid
Data Engineer,USD,135000,135000,United States,Senior,Full-time,In-person
Data Analyst,USD,50000,50000,United States,Entry-level,Full-time,Remote
Data Scientist,USD,140000,140000,United States,Senior,Full-time,Remote
Data Scientist,USD,187000,187000,United States,Senior,Full-time,Remote
Data Analyst,EUR,49200,53120,Estonia,Mid-level,Full-time,In-person
Data Analyst,USD,70000,70000,United States,Senior,Full-time,In-person
Machine Learning Developer,CAD,100000,76814,Canada,Mid-level,Full-time,Remote
Data Engineer,USD,162500,162500,United States,Mid-level,Full-time,In-person
Data Scientist,USD,168000,168000,United States,Senior,Full-time,Remote
Research Scientist,USD,151800,151800,United States,Mid-level,Full-time,Remote
Business Intelligence Analyst,USD,125009,125009,United States,Mid-level,Full-time,Remote
Machine Learning Engineer,USD,119700,119700,United States,Senior,Full-time,In-person
Data Scientist,USD,190000,190000,United States,Senior,Full-time,In-person
Data Engineer,USD,108000,108000,United States,Senior,Full-time,Remote
Data Scientist,USD,153000,153000,United States,Senior,Full-time,Remote
Data Scientist,USD,323300,323300,United States,Senior,Full-time,In-person
Data Analyst,GBP,36050,44356,United Kingdom,Mid-level,Full-time,Remote
